show_id,title,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Show 1,Movie,Director 2467,"Actor 559, Actor 2691",Brazil,26-Mar-2021,1929,TV-13,83 min,"Dramas, International Movies",This is the description for Show 1.
s2,Show 2,TV Show,Director 2313,"Actor 216, Actor 2986",France,12-Jul-2020,2012,UR,8 Seasons,Stand-Up Comedy,This is the description for Show 2.
s3,Show 3,Movie,Director 904,"Actor 258, Actor 3912",India,9-Nov-2021,1997,Unrated,143 min,Children & Family Movies,This is the description for Show 3.
s4,Show 4,Movie,Director 1328,"Actor 1689, Actor 2174",France,11-May-2020,1952,UR,111 min,Documentaries,This is the description for Show 4.
s5,Show 5,TV Show,Director 3702,"Actor 355, Actor 2228",United Kingdom,18-Dec-2020,1976,G,60 min,Documentaries,This is the description for Show 5.
s6,Show 6,Movie,Director 2089,"Actor 745, Actor 2156",Germany,16-Sep-2021,2009,TV-G,107 min,Thrillers,This is the description for Show 6.
s7,Show 7,TV Show,Director 4210,"Actor 1268, Actor 3738",Japan,25-Apr-2021,1954,TV-Y,3 Seasons,Stand-Up Comedy,This is the description for Show 7.
s8,Show 8,Movie,Director 1580,"Actor 600, Actor 2840",France,21-Aug-2021,1948,TV-Y,3 Seasons,Horror Movies,This is the description for Show 8.
s9,Show 9,Movie,Director 2448,"Actor 570, Actor 3816",Canada,8-Jun-2020,1953,G,5 Seasons,Thrillers,This is the description for Show 9.
s10,Show 10,TV Show,Director 2771,"Actor 1588, Actor 2154",Canada,9-Jan-2020,2008,TV-NR,162 min,"Dramas, Independent Movies",This is the description for Show 10.
s11,Show 11,Movie,Director 163,"Actor 1968, Actor 2950",India,27-Dec-2020,2000,TV-Y7,144 min,Thrillers,This is the description for Show 11.
s12,Show 12,TV Show,Director 3322,"Actor 890, Actor 2775",South Korea,4-Aug-2021,1960,TV-14,99 min,Thrillers,This is the description for Show 12.
s13,Show 13,Movie,Director 397,"Actor 1285, Actor 3755",Germany,27-Apr-2021,2009,TV-Y7-FV,94 min,Thrillers,This is the description for Show 13.
s14,Show 14,Movie,Director 299,"Actor 1915, Actor 2983",South Korea,25-Sep-2020,1948,TV-Y7,121 min,Horror Movies,This is the description for Show 14.
s15,Show 15,Movie,Director 4027,"Actor 434, Actor 3299",United States,15-Feb-2020,2000,TV-Y7,97 min,"Comedies, Dramas",This is the description for Show 15.
s16,Show 16,Movie,Director 3179,"Actor 733, Actor 2316",France,5-Feb-2021,2021,UR,9 Seasons,"Dramas, Independent Movies",This is the description for Show 16.
